commodity,food_group
Apples and products,Fruits
"Aquatic Animals, Others",Meat and Fish
Aquatic Plants,Meat and Fish
Bananas,Fruits
Barley and products,Grains
Beans,Pulses
Bovine Meat,Meat and Fish
"Butter, Ghee",Dairy and Eggs
Cassava and products,Starchy Roots
Cephalopods,Meat and Fish
"Cereals, Other",Grains
"Citrus, Other",Fruits
Cloves,Stimulants and Spices
Cocoa Beans and products,Stimulants and Spices
Coconut Oil,Oils and Oilseed
Coconuts - Incl Copra,Oils and Oilseed
Coffee and products,Stimulants and Spices
Cream,Dairy and Eggs
Crustaceans,Meat and Fish
Dates,Fruits
Demersal Fish,Meat and Fish
Eggs,Dairy and Eggs
"Fats, Animals, Raw",Meat and Fish
"Fish, Body Oil",Meat and Fish
"Fish, Liver Oil",Meat and Fish
Freshwater Fish,Meat and Fish
"Fruits, other",Fruits
Grapefruit and products,Fruits
Grapes and products (excl wine),Fruits
Groundnut Oil,Oils and Oilseed
Groundnuts,Oils and Oilseed
"Lemons, Limes and products",Fruits
Maize Germ Oil,Oils and Oilseed
Maize and products,Grains
"Marine Fish, Other",Meat and Fish
Milk - Excluding Butter,Dairy and Eggs
Millet and products,Grains
"Molluscs, Other",Meat and Fish
Mutton & Goat Meat,Meat and Fish
Nuts and products,Treenuts
Oats,Grains
"Offals, Edible",Meat and Fish
"Oilcrops Oil, Other",Oils and Oilseed
"Oilcrops, Other",Oils and Oilseed
Olive Oil,Oils and Oilseed
Olives (including preserved),Oils and Oilseed
Onions,Vegetables
"Oranges, Mandarines",Fruits
Palm Oil,Oils and Oilseed
Palmkernel Oil,Oils and Oilseed
Peas,Pulses
Pelagic Fish,Meat and Fish
Pepper,Stimulants and Spices
Pigmeat,Meat and Fish
Pimento,Stimulants and Spices
Pineapples and products,Fruits
Plantains,Fruits
Potatoes and products,Starchy Roots
Poultry Meat,Meat and Fish
"Pulses, Other and products",Pulses
Rape and Mustard Oil,Oils and Oilseed
Rape and Mustardseed,Oils and Oilseed
Rice and products,Grains
"Roots, Other",Starchy Roots
Rye and products,Grains
Sesame seed,Oils and Oilseed
Sesameseed Oil,Oils and Oilseed
Sorghum and products,Grains
Soyabean Oil,Oils and Oilseed
Soyabeans,Oils and Oilseed
"Spices, Other",Stimulants and Spices
Sugar (Raw Equivalent),Sugar and Sweeteners
Sugar cane,Sugar and Sweeteners
Sunflower seed,Oils and Oilseed
Sunflowerseed Oil,Oils and Oilseed
Sweet potatoes,Starchy Roots
Tea (including mate),Stimulants and Spices
Tomatoes and products,Vegetables
"Vegetables, other",Vegetables
Wheat and products,Grains
Wine,Other
Yams,Starchy Roots
